Season Number,Episode Number,Pitch Number,Original Air Date,Startup Name,Industry,Business Description,Pitchers Gender,Pitchers City,Pitchers State,Pitchers Average Age,Entrepreneur Names,Company Website,Multiple Entrepreneurs,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Deal Status,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Loan,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Investment Count,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
5,26,367,25-04-2014,Crio,Food & Beverage,Crio - Specialty Food,Male,Lindon,UT,UnKnown,Eric Durtschi,http://www.criobru.com,0,7.11,1000000,10,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,0,1,1,1
5,27,368,02-05-2014,Angellift,Fashion & Beauty,Angellift - Personal Care and Cosmetics,Male,San Diego,CA,UnKnown,UnKnown,http://www.angellift.com,0,8.33,500000,10,5000000,1,1,500000,15,3333333,1,500000,15,0,0,0,0,0,0,500000,15,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
5,27,369,02-05-2014,HangEase,Lifestyle & Home,HangEase - Storage and Cleaning Products,Male,Plano,TX,UnKnown,Ryan Landis,http://www.hangease.com,0,8.33,80000,30,266667,1,1,80000,30,266667,2,40000,15,0,0,0,0,40000,15,40000,15,0,0,0,0,0,0,0,0,2,UnKnown,1,1,1,1,0,1
5,27,370,02-05-2014,TheBouqsCompany,Lifestyle & Home,The Bouqs Company - Consumer Services,Male,Venice,CA,UnKnown,UnKnown,https://www.thebouqs.com,0,8.33,258000,3,8600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,27,371,02-05-2014,SustyParty,Lifestyle & Home,Susty Party - Party Supplies,Female,Brooklyn,NY,UnKnown,UnKnown,http://www.sustyparty.com,0,8.33,250000,10,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,28,372,09-05-2014,OruKayak,"Fitness, Sports & Outdoors",Oru Kayak - Outdoor Recreation,Male,San Francisco,CA,UnKnown,Anton Willis,http://www.orukayak.com,0,7.4,500000,12,4166667,1,1,500000,25,2000000,1,500000,25,0,0,0,0,0,0,0,0,500000,25,0,0,0,0,0,0,1,UnKnown,1,1,0,1,1,1
5,28,373,09-05-2014,BonAffair,Food & Beverage,Bon Affair - Alcoholic Beverages,Female,Solana Beach,CA,UnKnown,Jayla Siciliano,http://www.bonaffair.com,0,7.4,150000,35,428571,1,1,150000,35,428571,1,150000,35,0,0,0,0,150000,35,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,0,1,1,1
5,28,374,09-05-2014,Cinnaholic,Food & Beverage,Cinnaholic - Specialty Food,Mixed Team,Berkeley,CA,UnKnown,Shannon Michelle Radke and Florian Radke,http://www.cinnaholic.com,1,7.4,200000,20,1000000,1,1,200000,40,500000,1,200000,40,0,0,0,0,0,0,0,0,200000,40,0,0,0,0,0,0,1,UnKnown,1,1,0,1,1,1
5,28,375,09-05-2014,HargittMarineServices,"Fitness, Sports & Outdoors",Hargitt Marine Services - Professional Services,Male,Anacortes,WA,UnKnown,UnKnown,UnKnown,0,7.4,250000,25,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,0,1,1,1
5,29,376,16-05-2014,FootFairy,Software & Technology,Foot Fairy - Online Services,Female,Los Angeles,CA,UnKnown,Sylvie Shapiro and Nicole Brooks,http://www.footfairy.com,1,6.74,75000,15,500000,1,1,100000,40,250000,1,100000,40,0,0,0,0,100000,40,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
5,29,377,16-05-2014,BZbox,Lifestyle & Home,BZbox - Productivity Tools,Female,Chicago,IL,UnKnown,Kaeya Majmundar,http://thebzbox.com,0,6.74,50000,20,250000,1,1,50000,40,125000,1,50000,40,0,0,0,0,0,0,50000,40,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
5,29,378,16-05-2014,Tie-Not,Children & Education,Tie-Not - Toys and Games,Male,Aurora,IL,UnKnown,UnKnown,https://www.tie-not.com,0,6.74,125000,10,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
5,29,379,16-05-2014,Baker'sEdge,Food & Beverage,Baker's Edge - Kitchen Tools,Mixed Team,Carmel,IN,UnKnown,Matthew and Emily Griffin,http://www.bakersedge.com,1,6.74,400000,20,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,1,380,26-09-2014,SleepingBaby,Children & Education,Sleeping Baby - Baby and Child Care,Mixed Team,Fort Worth,TX,UnKnown,UnKnown,http://www.sleepingbaby.com,1,7.45,200000,10,2000000,1,1,200000,20,1000000,1,200000,20,0,0,0,0,0,0,0,0,0,0,200000,20,0,0,0,0,1,UnKnown,0,1,1,1,1,1
6,1,381,26-09-2014,Bombas,Fashion & Beauty,Bombas - Undergarments and Basics,Male,New York,NY,UnKnown,UnKnown,http://www.bombas.com,0,7.45,200000,5,4000000,1,1,200000,17.5,1142857,1,200000,17.5,0,0,0,0,0,0,0,0,0,0,200000,17.5,0,0,0,0,1,UnKnown,0,1,1,1,1,1
